old url,new url,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_pensionerstaxreview.htm,https://www.gov.uk/government/publications/taxation-of-pensioners-review,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_smallbusinessreview_committee.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_smallbusinessreview_workshops.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_smallbusinessreview.htm,https://www.gov.uk/government/publications?keywords=&publication_filter_option=all&topics%5B%5D=all&departments%5B%5D=office-of-tax-simplification&world_locations%5B%5D=all&direction=before&date=2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_taxationofpensionersreview_committee.htm,https://www.gov.uk/government/publications/taxation-of-pensioners-review,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_taxcomplexityproject.htm,https://www.gov.uk/government/publications/tax-complexity-project,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_taxreliefsreview_approach.htm,https://www.gov.uk/government/publications/tax-reliefs-review,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_taxreliefsreview_committee.htm,https://www.gov.uk/government/publications/tax-reliefs-review,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_taxreliefsreview_tor.htm,https://www.gov.uk/government/publications/tax-reliefs-review,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ots_taxreliefsreview.htm,https://www.gov.uk/government/publications/tax-reliefs-review,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/patent_box.htm,https://www.gov.uk/government/policies/making-corporate-taxes-more-competitive/supporting-pages/innovation-and-investment,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_forum_minutes220910.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_forum_minutes300311.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_forums_business_tax_competitiveness.htm,https://www.gov.uk/government/topics/tax-and-revenue,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_forums_tax_professionals.htm,https://www.gov.uk/government/topics/tax-and-revenue,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_forums.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_policy_making_new_approach.htm,https://www.gov.uk/government/policies/making-corporate-taxes-more-competitive,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_policy_making.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pay_appointees_review.htm,www.gov.uk/government/publication/review-of-the-tax-arrangements-of-public-sector-appointees,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pay_index.htm,www.gov.uk/government/publications/civil-service-pay-guidance-2013-to-2014,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_affect_changes.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_agreed_changes.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_changes_for_me.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_changes.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_contact_us.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_frequently_asked_questions.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_glossary.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_guidance_index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_index.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_police_cost_ceiling.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_reform_video.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_resources.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_timetable.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_why_changes.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/9394.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_guidance.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_increases_archive.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_increases.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_links.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_ocop1999index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_ocop2000index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_ocop2001index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_ocop2002index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_ocop2003index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_ocop2004index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_ocop2005index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_ocop2006index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_ocop2007index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_ocop2008index.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_preston.htm,https://www.gov.uk/government/organisations/hm-treasury/series/preston-guidance,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_pensions_no_changes.htm,https://www.gov.uk/government/policies/making-the-state-pension-simpler-and-fairer,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_avoidance_gaar.htm,https://www.gov.uk/government/policies/reducing-tax-evasion-and-avoidance,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_avoidance_index.htm,https://www.gov.uk/government/policies/reducing-tax-evasion-and-avoidance,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_index.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
